﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_forgiveness.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
"[146,77,70,13,36,90,58,186,60,182,91,117,141,103,198,136,179,79,11,86,71,101,128,194,49,119,112,125,135,177,162,145,97,72,164,172,53,150,35,167,183,124]",Kaoru,space,1.5585,space,2.2502,space,15.996,space,20.3754,space,81.2646,space,13.0809,space,4.5311,4,3.8246,1,6.078,3,4.864,2,5.2627,2,3.4536,0,0,0,0,1,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.233,space,5.7573,space,0.707,space,0.4004,space,1.6207,space,0.6675,3,2.1193,1,3.3658,3,1.8485,2,1.038,2,0.9359,1,0,1,0,1,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,space,4.7353,"[""RightButton_2""]",0.317708397,-0.327777778,1,0,0,RightButton_2,0,0,0,2,1,LeftButton_2,11dot1.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,"[""RightButton_2""]",0.275,-0.316666667,1,0,0,RightButton_2,0,1,1,0,1,RightButton_2,11dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,"[""LeftButton_2""]",-0.283333302,-0.312963019,1,0,0,LeftButton_2,0,2,2,1,1,LeftButton_2,9dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,0.4,0.280208397,-0.505555556,1,0,0,RightButton,"[""RightButton""]",100,7.517,space,3.7545,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,-0.290625,-0.524074131,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,50,9.2385,space,10,8.3083,,,,,,0,1,1,1,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,1.1861,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,0.301041698,-0.485185242,1,0,0,RightButton,"[""RightButton""]",,,,,5,7.6257,space,,,,,,,,,,,0,2,2,2,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,1.3967,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,0.298958397,-0.503703817,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,0,both_right.png,1,RandomDot28.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,0.315625,-0.503703817,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,0,both_right.png,3,RandomDot3.png,No answer,20,,,,,,,,,,,,,
