﻿choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,key_resp_5.keys,key_resp_5.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,60,57,54]",space,12.1668,space,17.5965,critical,space,17.3525,5.894444784,2.7418,space,1.133,0,0,0,1,1,2,image/2.jpg,0,0,,Kaoru,2,2024-06-01_01h27.39.687,face trait task chi,2021.2.3,Win32,59.17159763,,,,,,,
,,,,,,,,6.888889058,2.2002,space,1.3908,0,1,1,21,1,22,image/22.jpg,0,0,,Kaoru,2,2024-06-01_01h27.39.687,face trait task chi,2021.2.3,Win32,59.17159763,,,,,,,
,,,,,,,,2.038889058,2.385,space,1.2942,0,2,2,47,1,48,image/48.jpg,0,0,,Kaoru,2,2024-06-01_01h27.39.687,face trait task chi,2021.2.3,Win32,59.17159763,,,,,,,
,,,,,,,,2.96111145,1.8597,space,1.4872,0,3,3,6,1,7,image/7.jpg,0,0,,Kaoru,2,2024-06-01_01h27.39.687,face trait task chi,2021.2.3,Win32,59.17159763,,,,,,,
,,,,,,,,1,7.8879,space,3.3557,0,4,4,52,1,55,image/fill_img.png,1,1,请将滑块完全移动到<左边>，以示您在专心判断。,Kaoru,2,2024-06-01_01h27.39.687,face trait task chi,2021.2.3,Win32,59.17159763,,,,,,,
,,,,,,,,1.011111196,2.883,space,1.5652,0,5,5,49,1,50,image/50.jpg,0,0,,Kaoru,2,2024-06-01_01h27.39.687,face trait task chi,2021.2.3,Win32,59.17159763,,,,,,,
,,,,,,,,7,3.2827,space,1.5319,0,6,6,34,1,35,image/35.jpg,0,0,,Kaoru,2,2024-06-01_01h27.39.687,face trait task chi,2021.2.3,Win32,59.17159763,,,,,,,
,,,,,,,,1.983333333,2.9552,space,0.8838,0,7,7,26,1,27,image/27.jpg,0,0,,Kaoru,2,2024-06-01_01h27.39.687,face trait task chi,2021.2.3,Win32,59.17159763,,,,,,,
,,,,,,,,2.438889058,3.0305,space,0.7507,0,8,8,15,1,16,image/16.jpg,0,0,,Kaoru,2,2024-06-01_01h27.39.687,face trait task chi,2021.2.3,Win32,59.17159763,,,,,,,
,,,,,,,,4.027778117,2.233,space,0.5768,0,9,9,12,1,13,image/13.jpg,0,0,,Kaoru,2,2024-06-01_01h27.39.687,face trait task chi,2021.2.3,Win32,59.17159763,,,,,,,
